no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,data_size,lineage_classes,setup_duration[sec],solver_duration[sec],total_duration[sec]
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,123869,,800,5,8.217921416999957,0.008234708000031787,8.226156124999989
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,123869,,800,5,8.161069832999942,0.008575667000059184,8.169645500000001
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,123869,,800,5,8.148582583999996,0.008799500000009175,8.157382084000005
0,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800,5,8.237822583000025,0.0026371249999783686,8.240459708000003
1,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800,5,8.10771324999996,0.0026373340000418466,8.110350584000003
2,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800,5,8.109300749999989,0.00264979200005655,8.111950542000045
3,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800,5,8.100658041999964,0.0030704170000035447,8.103728458999967
4,0.5,10,QUERY_DISTANCE,0.0,RefinementMethod.MILP_OPT,123869,,800,5,8.082431874999997,0.0026151250000339132,8.085047000000031
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,123869,,800,5,8.114322709000021,0.0036173329999655834,8.117940041999987
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,123869,,800,5,8.0873785,0.003829667000104564,8.091208167000104
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,123869,,800,5,8.33256833400003,0.003685165999968376,8.336253499999998
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,123869,,800,5,8.319781333000037,0.00435016699998414,8.324131500000021
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,123869,,800,5,8.20848162499999,0.0042658329999767375,8.212747457999967
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,175457,,900,5,11.176130166000007,0.008806249999906868,11.184936415999914
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,175457,,900,5,11.161407708999945,0.0071055829999977504,11.168513291999943
2,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,175457,,900,5,10.89963466600011,0.00862404199995126,10.908258708000062
3,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,175457,,900,5,11.053037583000105,0.007867207999993298,11.060904791000098
4,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,175457,,900,5,11.012985042000082,0.00871837499994399,11.021703417000026
